id,compound,formula
LMPK12111514,Cycloartobiloxanthone,C25H22O7
LMPK12111515,Artonin M,C30H30O7
LMPK12111516,Artoindonesianin A,C35H38O7
LMPK12111517,Cycloartomunoxanthone,C26H24O7
LMPK12111518,Artonin F,C30H30O7
LMPK12111519,Artoindonesianin P,C20H16O7
LMPK12111520,Artonin L,C22H20O7
LMPK12111521,Artonin K,C21H18O7
LMPK12111522,Artonin J,C25H24O7
LMPK12111523,Artonin T,C26H26O7
LMPK12111524,Carpelastofuran,C30H34O8
LMPK12111525,Artonin S,C26H28O7
LMPK12111526,(+)-Cyclochampedol,C20H16O7
LMPK12111527,Artocommunol CC,C30H32O7
LMPK12111528,Artomunoxanthentrione,C26H20O7
LMPK12111529,Artomunoxanthone,C26H24O7
LMPK12111530,Artonol E,C26H24O7
LMPK12111531,Artonin N,C30H30O7
LMPK12111532,Artonol C,C30H28O7
LMPK12111533,Artelastochromene,C30H30O6
LMPK12111534,Artocommunol CA,C26H24O6
LMPK12111535,Artoindonesianin S,C22H20O7
LMPK12111536,Artoindonesianin T,C21H18O7
LMPK12111537,Artoindonesianin B,C26H28O8
LMPK12111538,Artelastin,C30H32O6
LMPK12111539,Artelastocarpin,C30H34O7
LMPK12111540,Oxyisocyclointegrin,C21H20O7
LMPK12111541,Cyclointegrin,C21H20O6
LMPK12111542,Karanjin,C18H12O4
LMPK12111543,Ponganone XI,C18H12O4
LMPK12111544,Karanjachromene,C21H18O4
LMPK12111545,3_7-Dihydroxyflavone,C15H10O4
LMPK12111546,3_7-Dimethoxyflavone,C17H14O4
LMPK12111547,8-C-Glucosyl-5-deoxykaempferol,C21H20O10
LMPK12111548,Resokaempferol 3-glucoside,C21H20O10
LMPK12111549,Resokaempferol 7-glucoside,C21H20O10
LMPK12111550,Resokaempferol 4'-glucoside,C21H20O10
LMPK12111551,3_4'-Dimethoxyfurano[2_3:7_8]flavone,C19H14O5
LMPK12111552,Resokaempferol,C15H10O5
LMPK12111553,5-Deoxyrhamnocitrin,C16H12O5
LMPK12111554,Fisetin 8-C-glucoside,C21H20O11
LMPK12111555,Fisetin 3-glucoside,C21H20O11
LMPK12111556,Fisetin 3_7-diglucoside,C27H30O16
LMPK12111557,Fisetin 7-glucoside,C21H20O11
LMPK12111558,Fisetin 4'-glucoside,C21H20O11
LMPK12111559,Fisetin 7-rutinoside,C27H30O15
LMPK12111560,Geraldol 4'-glucoside,C22H22O11
LMPK12111561,Pongamoside D,C23H22O11
LMPK12111562,Pongapin,C19H12O6
LMPK12111563,Pongachromene,C22H18O6
LMPK12111564,Macaflavone I,C25H24O6
LMPK12111565,Macaflavone II,C26H26O6
LMPK12111566,3_3'_4'_7-Tetrahydroxyflavone,C15H10O6
LMPK12111567,Fisetin 3-methyl ether,C16H12O6
LMPK12111568,Geraldol,C16H12O6
LMPK12111569,Fisetin 4'-methyl ether,C16H12O6
LMPK12111570,Fisetin 7_3'_4'-trimethyl ether,C18H16O6
LMPK12111571,Fisetin tetramethyl ether,C19H18O6
LMPK12111572,Demethoxykanugin,C18H14O6
LMPK12111573,Robinetin 7-glucoside,C21H20O12
LMPK12111574,3_7_3'_4'_5'-Pentahydroxyflavone 3-rutinoside,C27H30O16
LMPK12111575,3_4'-Dihydroxy-7_3'_5'-trimethoxyflavone 3-galactosyl-(1->4)-xyloside,C29H34O16
LMPK12111576,3'-Methoxypongapin,C20H14O7
LMPK12111577,Robinetin,C15H10O7
LMPK12111578,Kanugin,C19H16O7
LMPK12111579,Laurentinol,C17H14O7
LMPK12111580,4'_5'-Dihydroxy-3_7_3'-trimethoxyflavone,C18H16O7
LMPK12111581,3_4'-Dihydroxy-7_3'_5'-trimethoxyflavone,C18H16O7
LMPK12111582,4'-Hydroxy-3_7_3'_5'-tetramethoxyflavone,C19H18O7
LMPK12111583,3_7_2'_3'_4'-Pentahydroxyflavone 3-neohesperidoside,C27H30O16
LMPK12111584,Pongamoside C,C24H22O10
LMPK12111585,3_6-Dimethoxy-6''_6''-dimethylpyrano[2_3:7_8]flavone,C22H20O5
LMPK12111586,3_6_7-Trihydroxy-4'-methoxyflavone 7-rhamnoside,C22H22O10
LMPK12111587,4'-Hydroxy-3_6-dimethoxy-6''_6''-dimethylpyrano[2_3:7_8]flavone,C22H20O6
LMPK12111588,7_4'-Dihydroxy-3_6-dimethoxyflavone,C17H14O6
LMPK12111589,6_7_4'-Trihydroxy-3-methoxyflavone,C16H12O6
LMPK12111590,Neouralenol,C20H18O7
LMPK12111591,3_6-Dimethoxy-6''_6''-dimethyl-3'_4'-methylenedioxypyrano[2_3:7_8]flavone,C23H20O7
LMPK12111592,Rhynchosin,C15H10O7
LMPK12111593,Santoflavone,C19H18O7
LMPK12111594,3-Methoxy-6_7_3'_4'-tetrahydroxyflavone,C16H12O7
LMPK12111595,7-Methoxy-3_6_3'_4'-tetrahydroxyflavone,C16H12O7
LMPK12111596,Inucrithmin,C17H14O8
LMPK12111597,6_5'-Dihydroxy-3_7_2'_4'-tetramethoxyflavone,C19H18O8
LMPK12111598,3_7-Dihydroxy-8-methylflavone 7-rhamnoside,C22H22O9
LMPK12111599,3_7-Dihydroxy-8-methylflavone 7-rhamnosyl-(1->4)-rhamnosyl-(1->6)-glucoside,C34H42O18
LMPK12111600,Zuccagin,C16H12O5
LMPK12111601,3_7_8_4'-Tetrahydroxyflavone,C15H10O6
LMPK12111602,7_8_4'-Trihydroxy-3-methoxyflavone,C16H12O6
LMPK12111603,3_4'-Dihydroxy-7_8-dimethoxyflavone,C17H14O6
LMPK12111604,3-Hydroxy-7_8_4'-trimethoxyflavone,C18H16O6
LMPK12111605,3_7_8_3'_4'-Pentahydroxyflavone,C15H10O7
LMPK12111606,3'_4'_7_8-Tetrahydroxy-3-methoxyflavone,C16H12O7
LMPK12111607,3_7_3'_4'-Tetrahydroxy-8-methoxyflavone,C16H12O7
LMPK12111608,7_3'_4'-Trihydroxy-3_8-dimethoxyflavone,C17H14O7
LMPK12111609,7_8_4'-Trihydroxy-3_3'-dimethoxyflavone,C17H14O7
LMPK12111610,3'-O-Methylmelanoxetin,C16H12O7
LMPK12111611,2'-Hydroxy-3_7_8_4'_5'-pentamethoxyflavone,C20H20O8
LMPK12111612,Auranetin,C20H20O7
LMPK12111613,3_6_7_8_3'_4'-Hexahydroxy-5'-methoxyflavone 7-neohesperidoside,C28H32O18
LMPK12111614,3-Hydroxy-4'-methoxyflavone 3-glucoside,C22H22O9
LMPK12111615,Uralene,C21H20O7
LMPK12111616,Sylpin,C17H14O6
LMPK12111617,3-Hydroxy-4'-methoxyflavone,C16H12O4
LMPK12111618,3_5_8_3'_4'_5'-Hexahydroxyflavone,C15H10O8
LMPK12111619,Datiscanin,C21H20O11
LMPK12111620,Datiscin,C27H30O15
LMPK12111621,3_5_7_2'_6'-Pentahydroxyflavone 2'-glucoside,C21H20O12
LMPK12111622,Datiscetin,C15H10O6
LMPK12111623,Datin,C16H12O6
LMPK12111624,Ptaeroxylol,C16H12O6
LMPK12111625,3_5_7_2'_5'-Pentahydroxyflavone,C15H10O7
LMPK12111626,3_5_2'-Trihydroxy-7_5'-dimethoxyflavone,C17H14O7
LMPK12111627,Viscidulin I,C15H10O7
LMPK12111628,3_5_7_2'_6'-Pentamethoxyflavone,C20H20O7
LMPK12111629,Galanginin,C21H20O10
LMPK12111630,Galanginoside,C27H30O14
LMPK12111631,Cannabin,C28H32O14
LMPK12111632,5_7-Dihydroxy-6_8-di-C-methyl-3-methyoxflavone 7-galactosyl-(1->2)-rhamnoside,C30H36O14
LMPK12111633,Galangin 3-rhamnoside,C21H20O9
LMPK12111634,Galangin 7-glucoside,C21H20O10
LMPK12111635,Galangin 3-galactosyl-(1->4)-rhamnoside,C27H30O14
LMPK12111636,Galangin 3-methyl ether 7-glucoside,C22H22O10
LMPK12111637,Lagotiside,C23H24O12
LMPK12111638,3_5_7-Trihydroxyflavone 3-glucoside-8-sulfate,C21H20O13S
LMPK12111639,Glepidotin A,C20H18O5
LMPK12111640,3_5_7-Trihydroxy-6-prenylflavone,C20H18O5
LMPK12111641,3_5_7-Trihydroxy-8-(1_1-dimethylprop-2-en-1-yl)flavone,C20H18O5
LMPK12111642,8-C-Methylgalangin,C16H12O5
LMPK12111643,5_7-Dihydroxy-3-methoxy-8-methylflavone,C17H14O5
LMPK12111644,3_5-Dihydroxy-7-methoxy-8-methylflavone,C17H14O5
LMPK12111645,3_5_7-Trihydroxy-6_8-dimethylflavone,C17H14O5
LMPK12111646,5_7-Dihydroxy-3-methoxy-6_8-dimethylflavone,C18H16O5
LMPK12111647,3_5-Dihydroxy-7-methoxy-6_8-dimethylflavone,C18H16O5
LMPK12111648,(-)-8-(2-Carboxy-1-phenylethyl)-3_5_7-trihydroxyflavone delta-lactone,C24H16O6
LMPK12111649,Sericetin,C25H24O5
LMPK12111650,3_5-Dimethoxy-8_8-dimethyl-2-phenyl-4H_8H-benzo[1_2-b:3_4-b']dipyran-4-one,C22H20O5
LMPK12111651,Dorsilurin C,C30H32O6
LMPK12111652,3_5_7-trimethoxyflavone,C18H16O5
LMPK12111653,3_5_7-Trihydroxyflavone,C15H10O5
LMPK12111654,5_7-Dihydroxy-3-methoxyflavone,C16H12O5
LMPK12111655,Galangin 5-methyl ether,C16H12O5
LMPK12111656,3_5-Dihydroxy-7-methoxyflavone,C16H12O5
LMPK12111657,3_7-Dimethoxy-5-hydroxyflavone,C17H14O5
LMPK12111658,Galangin 5_7-dimethyl ether,C17H14O5
LMPK12111659,Morelosin,C17H14O7
LMPK12111660,6-beta-D-Glucopyranosyl-3_5_7_4'-tetrahydroxyflavone,C21H20O11
LMPK12111661,8-beta-D-Glucopyranosyl-3_5_7_4'-tetrahydroxyflavone,C21H20O11
LMPK12111662,Kaempferol 3-alpha-D-galactoside,C21H20O11
LMPK12111663,Trifolin,C21H20O11
LMPK12111664,Kaempferol 3-apiosyl-(1->2)-galactoside,C26H28O15
LMPK12111665,Kaempferol 3-lathyroside,C26H28O15
LMPK12111666,Panasenoside,C27H30O16
LMPK12111667,Kaempferol 3-glucosyl-(1->6)-galactoside,C27H30O16
LMPK12111668,Kaempferol 3-rhamnosyl-(1->2)-galactoside,C27H30O15
LMPK12111669,Kaempferol 3-robinobioside,C27H30O15
LMPK12111670,Kaempferol 3_5-digalactoside,C27H30O16
LMPK12111671,Kaempferol 3_7-digalactoside,C27H30O16
LMPK12111672,Kaempferol 3-galactoside-7-rhamnoside,C27H30O15
LMPK12111673,Kaempferol 3-galactoside-4'-glucoside,C27H30O16
LMPK12111674,Kaempferol 3-glucosyl-(1->3)-rhamnosyl-(1->6)-galactoside,C33H40O20
LMPK12111675,Kaempferol 3-rhamninoside,C33H40O19
LMPK12111676,Kaempferol 3-isorhamninoside,C33H40O19
LMPK12111677,Kaempferol 3-(2Gal-apiosylrobinobioside),C32H38O19
LMPK12111678,Kaempferol 3-glucosyl-(1->2)[rhamnosyl-(1->6)-galactoside],C33H40O20
LMPK12111679,Mauritianin,C33H40O19
LMPK12111680,Kaempferol 3-lathyroside-7-rhamnoside,C32H38O19
LMPK12111681,Kaempferol 3-glucosyl-(1->2)-galactoside-7-glucoside,C33H40O21
LMPK12111682,Kaempferol 3-rhamnosyl-(1->2)-galactoside-7-glucoside,C33H40O20
LMPK12111683,Kaempferol 3-rhamnosyl-(1->2)-galactoside-7-rhamnoside,C33H40O19
LMPK12111684,-,C33H40O20
LMPK12111685,-,C33H40O19
LMPK12111686,Kaempferol 3-isorhamninoside-7-rhamnoside,C39H50O23
LMPK12111687,Kaempferol 3-(2Gal-glucosylrobinobioside)-7-rhamnoside,C39H50O24
LMPK12111688,Kaempferol 3-rhamnosyl-(1->2)[rhamnosyl-(1->6)-galactoside]-7-glucoside,C39H50O24
LMPK12111689,Kaempferol 3-(6''-malonylgalactoside),C24H22O14
LMPK12111690,Kaempferol 3-(6''-galloylgalactoside),C28H24O15
LMPK12111691,-,C30H26O13
LMPK12111692,Kaempferol 3-[2'''-acetyl-alpha-L-arabinopyranosyl-(1->6)-galactoside],C28H30O16
LMPK12111693,Kaempferol 3-(6'''-caffeylglucosyl)-(1->2)-galactoside,C36H36O19
LMPK12111694,Kaempferol 3-(6''-sinapylglucosyl)-(1->2)-galactoside,C38H40O20
LMPK12111695,Kaempferol 3-(4''-(Z)-p-coumarylrobinobioside),C36H36O17
LMPK12111696,Kaempferol 3-(4''-(E)-p-coumarylrobinobioside),C36H36O17
LMPK12111697,Kaempferol 3-(6''-acetylgalactoside)-7-rhamnoside,C29H32O16
LMPK12111698,Kaempferol 3-glucosyl-(1->4)(6'''-sinapylglucosyl)(1->2)-galactoside,C44H50O25
LMPK12111699,Kaempferol 3-(2''''-sinapylglucosyl)(1->4)(6'''-sinapylglucosyl)(1->2)-galactoside,C55H60O29
LMPK12111700,Kaempferol 3-glucosyl-(1->3)(4'''-acetylrhamnosyl)(1->6)-galactoside,C35H42O21
LMPK12111701,Kaempferol 3-rhamnosyl-(1->3)(4'''-acetylrhamnosyl)(1->6)-galactoside,C35H42O20
LMPK12111702,Kaempferol 3-rhamnosyl-(1->4)(3'''-acetylrhamnosyl)(1->6)-galactoside,C35H42O20
LMPK12111703,Kaempferol 3-rhamnosyl-(1->2)(6''-acetylgalactoside)-7-rhamnoside,C35H42O20
LMPK12111704,Variabiloside C,C42H46O22
LMPK12111705,Variabiloside D,C42H46O22
LMPK12111706,Kaempferol 3-(4''-(E)-p-coumarylrobinobioside)-7-rhamnoside,C42H46O21
LMPK12111707,Kaempferol 3-caffeylrobinobioside-7-rhamnoside,C42H46O22
LMPK12111708,Kaempferol 3-ferulylrobinobioside-7-rhamnoside,C43H48O22
LMPK12111709,Phellatin,C26H30O12
LMPK12111710,Ikarisoside A,C26H28O10
LMPK12111711,Epimedoside C,C26H28O11
LMPK12111712,Ikarisoside F,C31H36O14
LMPK12111713,Ikarisoside B,C32H38O15
LMPK12111714,Noranhydroicaritin 3-rhamnosyl-(1->2)-rhamnoside,C32H38O14
LMPK12111715,3_4'_5_7-Tetrahydroxy-8-(3-methyl-2-butenyl)flavone 3_7-diglucoside,C32H38O16
LMPK12111716,Epimedoside A,C32H38O15
LMPK12111717,Epimedoside D,C37H46O19
LMPK12111718,Epimedoside E,C37H46O19
LMPK12111719,Ikarisoside C,C38H48O20
LMPK12111720,Diphylloside B,C38H48O19
LMPK12111721,Hexandraside C,C43H56O24
LMPK12111722,Diphylloside C,C44H58O25
LMPK12111723,Amurensin,C26H30O12
LMPK12111724,Ikarisoside D,C28H30O11
LMPK12111725,Astragalin,C21H20O11
LMPK12111726,Kaempferol 3-alpha-D-glucoside,C21H20O11
LMPK12111727,Kaempferol 3-apiosyl-(1->2)-glucoside,C26H28O15
LMPK12111728,Kaempferol 3-vicianoside,C26H28O15
LMPK12111729,Leucoside,C26H28O15
LMPK12111730,Camelliaside C,C27H30O16
LMPK12111731,Kaempferol 3-gentiobioside,C27H30O16
LMPK12111732,Kaempferol 3-neohesperidoside,C27H30O15
LMPK12111733,Kaempferol 3-rungioside,C27H30O15
LMPK12111734,Nicotiflorin,C27H30O15
LMPK12111735,Kaempferol 3-glucoside-7-alpha-L-arabinopyranoside,C26H28O15
LMPK12111736,Kaempferol 3-glucoside-7-xyloside,C26H28O15
LMPK12111737,Kaempferol 3-glucoside-7-galactoside,C27H30O16
LMPK12111738,Kaempferol 3_7-diglucoside,C27H30O16
LMPK12111739,Kaempferol 3-alpha-D-glucoside-7-rhamnoside,C27H30O15
LMPK12111740,Kaempferol 3-glucoside-7-rhamnoside,C27H30O15
LMPK12111741,Kaempferol 3-glucoside-7-glucuronide,C27H28O17
LMPK12111742,Kaempferol 3_4'-diglucoside,C27H30O16
LMPK12111743,Primflasine,C31H36O19
LMPK12111744,Kaempferol 3-sophorotrioside,C33H40O21
LMPK12111745,Sorboside,C33H40O21
LMPK12111746,Kaempferol 3-(3Rha-glucosylrutinoside),C33H40O20
LMPK12111747,Kaempferol 3-rhamnosyl-(1->2)-rhamnosyl-(1->6)-glucoside,C33H40O19
LMPK12111748,Kaempferol 3-rhamnosyl-(1->4)-rhamnosyl-(1->6)-glucoside,C33H40O19
LMPK12111749,Kaempferol 3-(3G-glucosylneohesperidoside),C33H40O20
LMPK12111750,Camelliaside B,C32H38O19
LMPK12111751,Kaempferol 3-glucosyl-(1->2)-gentiobioside,C33H40O21
LMPK12111752,Camelliaside A,C33H40O20
LMPK12111753,Kaempferol 3-(2G-glucosylrutinoside),C33H40O20
LMPK12111754,Kaempferol 3-(2G-rhamnosylgentiobioside),C33H40O20
LMPK12111755,Kaempferol 3-sambubioside-7-glucoside,C32H38O20
LMPK12111756,Kaempferol 3-sophoroside-7-alpha-L-arabinofuranoside,C32H38O20
LMPK12111757,Kaempferol 3-sophoroside-7-glucoside,C33H40O21
LMPK12111758,Kaempferol 3-sophoroside-7-rhamnoside,C33H40O20
LMPK12111759,Kaempferol 3-sophoroside-7-glucuronide,C33H38O22
LMPK12111760,Kaempferol 3-laminaribioside-7-rhamnoside,C33H40O20
LMPK12111761,Kaempferol 3-gentiobioside-7-glucoside,C33H40O21
LMPK12111762,Kaempferol 3-gentiobioside-7-rhamnoside,C33H40O20
LMPK12111763,Kaempferol 3-gentiobioside-7-glucuronide,C33H38O22
LMPK12111764,Kaempferol 3-neohesperidoside-7-glucoside,C33H40O20
LMPK12111765,Kaempferol 3-neohesperidoside-7-rhamnoside,C33H40O19
LMPK12111766,Kaempferol 3-rutinoside-7-galactoside,C33H40O20
LMPK12111767,Kaempferol 3-rutinoside-7-glucoside,C33H40O20
LMPK12111768,Kaempferol 3-rutinoside-7-rhamnoside,C33H40O19
LMPK12111769,Kaempferol 3-rutinoside-7-glucuronide,C33H38O21
LMPK12111770,Kaempferol 3-apiosyl-(1->2)-glucoside-4'-glucoside,C32H38O20
LMPK12111771,Kaempferol 3-sophoroside-4'-glucoside,C33H40O21
LMPK12111772,Kaempferol 3-rutinoside-4'-glucoside,C33H40O20
LMPK12111773,Kaempferol 3-glucoside-7-sophoroside,C33H40O21
LMPK12111774,Kaempferol 3-glucoside-7-gentiobioside,C33H40O21
LMPK12111775,Kaempferol 3-glucoside-7_4'-dirhamnoside,C33H40O19
LMPK12111776,Kaempferol 3-sophorotrioside-7-glucoside,C39H50O26
LMPK12111777,Kaempferol 3-sophorotrioside-7-rhamnoside,C39H50O25
LMPK12111778,Kaempferol 3-(2G-xylosylrutinoside)-7-glucoside,C38H48O24
LMPK12111779,Kaempferol 3-(2G-glucosylrutinoside)-7-glucoside,C39H50O25
LMPK12111780,Kaempferol 3-galactosyl-(1->6)-glucoside-7-rhamnosyl-(1->3)-rhamnoside,C39H50O24
LMPK12111781,Kaempferol 3-rutinoside-7-sophoroside,C39H50O25
LMPK12111782,Kaempferol 3-gentiobioside-7_4'-diglucoside,C39H50O26
LMPK12111783,Kaempferol 3-(6''-acetylglucoside),C23H22O12
LMPK12111784,Kaempferol 3-(6''-malonylglucoside),C24H22O14
LMPK12111785,Kaempferol 3-[6''-(3-hydroxy-3-methylglutaryl)glucoside],C27H28O15
LMPK12111786,Kaempferol 3-(2''-galloylglucoside),C28H24O15
LMPK12111787,Kaempferol 3-(6''-galloylglucoside),C28H24O15
LMPK12111788,Kaempferol 3-(6''-(Z)-cinnamylglucoside),C30H26O12
LMPK12111789,Kaempferol 3-(2''-p-coumarylglucoside),C30H26O13
LMPK12111790,Kaempferol 3-(3''-p-coumarylglucoside),C30H26O13
LMPK12111791,Tiliroside,C30H26O13
LMPK12111792,Kaempferol 3-(6''-ferulylglucoside),C31H28O14
LMPK12111793,Kaempferol 3-(4''-acetyl-6''-p-coumarylglucoside),C32H28O14
LMPK12111794,Kaempferol 3-(2''_6''-di-(E)-p-coumarylglucoside),C39H32O15
LMPK12111795,Kaempferol 3-(2''-(Z)-p-coumaryl-6''-(E)-p-coumarylglucoside),C39H32O15
LMPK12111796,Kaempferol 3-(3''_6''-di-p-coumarylglucoside),C39H32O15
LMPK12111797,Kaempferol 3-(3''-p-coumaryl-6''-ferulylglucoside),C40H34O16
LMPK12111798,Kaempferol 3-(2''_3''-diacetyl-4''-(Z)-p-coumaryl-6''-(E)-p-coumarylglucoside),C43H36O17
LMPK12111799,Kaempferol 3-(3''_4''-diacetyl-2''_6''-di-(E)-p-coumarylglucoside),C43H36O17
LMPK12111800,Kaempferol 3-[2'''_3'''_5'''-triacetyl-alpha-L-arabinofuranosyl-(1->6)-glucoside,C32H34O18
LMPK12111801,Kaempferol 3-[2'''_3'''_4'''-triacetyl-alpha-L-arabinopyranosyl-(1->6)-glucoside],C32H34O18
LMPK12111802,Kaempferol 3-caffeylsophoroside,C36H36O19
LMPK12111803,Petunoside,C37H38O19
LMPK12111804,Kaempferol 3-rhamnosyl-(1->6)(2''-p-coumarylglucoside),C36H36O17
LMPK12111805,Kaempferol 3-(6''-acetylglucoside)-7-glucoside,C29H32O17
LMPK12111806,Kaempferol 3-(6''-malonylglucoside)-7-glucoside,C30H32O19
LMPK12111807,Kaempferol 3-[6''-(3-hydroxy-3-methylglutaryl)glucoside]-7-glucoside,C33H38O20
LMPK12111808,Kaempferol 3-(6''-p-coumarylglucoside)-7-glucoside,C36H36O18
LMPK12111809,Kaempferol 3-glucoside-7-p-coumarylglucoside,C36H36O18
LMPK12111810,Kaempferol 3-(6''-acetylglucoside)-7-rhamnoside,C29H32O16
LMPK12111811,Kaempferol 3-(2''-caffeylglucoside)-7-rhamnoside,C36H36O18
LMPK12111812,Kaempferol 3-(2''-hydroxypropionylglucoside)-4'-glucoside,C30H34O18
LMPK12111813,Kaempferol 3-(6''-p-coumarylglucoside)-4'-glucoside,C36H36O18
LMPK12111814,Kaempferol 3-rhamnosyl-(1->3)(4'''-p-coumarylrhamnosyl)(1->6)-glucoside,C42H46O21
LMPK12111815,Kaempferol 3-(2'''-(E)-p-coumarylsophoroside)-7-glucoside,C42H46O23
LMPK12111816,Kaempferol 3-(2'''-(E)-caffeylsophoroside)-7-glucoside,C42H46O24
LMPK12111817,Kaempferol 3-[2'''-(E)-ferulylsophoroside]-7-glucoside,C43H48O24
LMPK12111818,Kaempferol 3-sophoroside-7-(2''-ferulylglucoside),C43H48O24
LMPK12111819,-,C44H50O25
LMPK12111820,Kaempferol 3-(2''-caffeyllaminaribioside)-7-rhamnoside,C42H46O23
LMPK12111821,Kaempferol 3-(4''-caffeyllaminaribioside)-7-rhamnoside,C42H46O23
LMPK12111822,Kaempferol 3-neohesperidoside-7-(2''-p-coumarylglucoside),C42H46O22
LMPK12111823,Kaempferol 3-neohesperidoside-7-(2''-ferulylglucoside),C43H48O23
LMPK12111824,Kaempferol 3-(2''-sinapylglucoside)-7-sophoroside,C44H50O25
LMPK12111825,Kaempferol 3-(2''-ferulylglucoside)-7_4'-diglucoside,C43H48O24
LMPK12111826,Kaempferol 3_4'-diglucoside-7-(2''-ferulylglucoside),C43H48O24
LMPK12111827,Kaempferol 3-neohesperidoside-7-(2''-p-coumaryllaminaribioside),C48H56O27
LMPK12111828,Kaempferol 3-O-alpha-L-rhamnopyranosyl(1->6)-beta-D-glucopyranosyl(1->2)-beta-D-glucopyranoside-7-O-alpha-L-rhamnopyranoside,C39H50O24
LMPK12111829,Kaempferol 7-O-(6-trans-caffeoyl)-beta-glucopyranosyl-(1->3)-alpha-rhamnopyranoside-3-O-beta-glucopyranoside,C42H46O23
LMPK12111830,Kaempferol 7-O-(6-trans-p-coumaroyl)-beta-glucopyranosyl-(1->3)-alpha-rhamnopyranoside-3-O-beta-glucopyranoside,C42H46O22
LMPK12111831,Kaempferol 3-(6'''-rhamnosyl-2'''-(6-malyl-glucosyl)-glucoside),C37H44O24
LMPK12111832,Kaempferol 3_7_4'-triglucoside,C33H40O21
LMPK12111833,Kaempferol 3-(3''-sulfatoglucoside),C21H20O14S
LMPK12111834,Kaempferol 3-beta-(6''-sulfatoglucoside),C21H20O14S
LMPK12111835,Kaempferol 3-(6''-sulfatogetiobioside),C27H30O19S
LMPK12111836,6-C-Methylkaempferol 3-glucoside,C22H22O11
LMPK12111837,8-C-Methylkaempferol 7-glucoside,C22H22O11
LMPK12111838,Ikarisoside E,C26H26O10
LMPK12111839,Juglanin,C20H18O10
LMPK12111840,Kaempferol 3-alpha-L-arabinopyranoside,C20H18O10
LMPK12111841,Kaempferol 3-xyloside,C20H18O10
LMPK12111842,Afzelin,C21H20O10
LMPK12111843,Kaempferol 3-glucuronide,C21H18O12
LMPK12111844,Kaempferol 3-(6''-ethylglucuronide),C23H22O12
LMPK12111845,Kaempferol 5-glucoside,C21H20O11
LMPK12111846,Kaempferol 5-rhamnoside,C21H20O10
LMPK12111847,Kaempferol 7-alpha-L-arabinoside,C20H18O10
LMPK12111848,Kaempferol 7-xyloside,C20H18O10
LMPK12111849,Kaempferol 7-alloside,C21H20O11
LMPK12111850,Kaempferol 7-galactoside,C21H20O11
LMPK12111851,Kaempferol 7-rhamnoside,C21H20O10
LMPK12111852,Kaempferol 7-glucuronide,C21H18O12
LMPK12111853,Kaempferol 4'-glucoside,C21H20O11
LMPK12111854,Kaempferol 4'-rhamnoside,C21H20O10
LMPK12111855,Kaempferol 3-rhamnosyl-(1->4)-xyloside,C26H28O14
LMPK12111856,Kaempferol 3-xylosyl-(1->2)-rhamnoside,C26H28O14
LMPK12111857,Kaempferol 3-glucosyl-(1->2)-rhamnoside,C27H30O15
LMPK12111858,Multiflorin B,C27H30O15
LMPK12111859,Kaempferol 3-alpha-L-arabinofuranoside-7-rhamnoside,C26H28O14
LMPK12111860,Kaempferol 3-xyloside-7-glucoside,C26H28O15
LMPK12111861,Lepidoside,C26H28O14
LMPK12111862,Kaempferol 3-rhamnoside-7-alpha-L-arabionopyranoside,C26H28O14
LMPK12111863,Kaempferol 3-rhamnoside-7-xyloside,C26H28O14
LMPK12111864,Kaempferol 3-rhamnoside-7-glucoside,C27H30O15
LMPK12111865,Kaempferitrin,C27H30O14
LMPK12111866,Kaempferol 3-rhamnoside-7-galacturonide,C27H28O16
LMPK12111867,Kaempferol 3-glucuronide-7-glucoside,C27H28O17
LMPK12111868,Kaempferol 3_4'-dixyloside,C25H26O14
LMPK12111869,Kaempferol 3-rhamnoside-4'-xyloside,C26H28O14
LMPK12111870,Kaempferol 7-glucosyl-(1->4)-xyloside,C26H28O15
LMPK12111871,Kaempferol 7-neohesperidoside,C27H30O15
LMPK12111872,Kaempferol 7-galactosyl-(1->4)-rhamnoside,C27H30O15
LMPK12111873,Crenuloside,C27H30O15
LMPK12111874,Kaempferol 7_4'-dirhamnoside,C27H30O14
LMPK12111875,Kaempferol 3-apiosyl-(1->2)-alpha-L-arabinofuranoside-7-rhamnoside,C31H36O18
LMPK12111876,Sagittatin A,C32H38O18
LMPK12111877,Kaempferol 3-glucosyl-(1->3)-rhamnoside-7-rhamnoside,C33H40O19
LMPK12111878,Kaempferol 3-rhamnosyl-(1->4)-rhamnoside-7-rhamnoside,C33H40O18
LMPK12111879,Kaempferol 3-rhamnoside-7-glucosyl-(1->2)-rhamnoside,C33H40O19
LMPK12111880,Kaempferol 4'-rhamninoside,C33H40O19
LMPK12111881,Kaempferol 3-(2''-galloyl-alpha-L-arabinopyranoside),C27H22O14
LMPK12111882,Kaempferol 3-(2''-p-coumaryl-alpha-L-arabinopyranoside),C29H24O12
LMPK12111883,Kaempferol 3-(2''-acetylrhamnoside),C23H22O11
LMPK12111884,Kaempferol 3-(3''-acetylrhamnoside),C23H22O11
LMPK12111885,Kaempferol 3-(4''-acetylrhamnoside),C23H22O11
LMPK12111886,Kaempferol 3-(2-(E)-p-coumarylrhamnoside),C30H26O12
LMPK12111887,Kaempferol 3-(4''-p-coumarylrhamnoside),C30H26O12
